"AAll" "entry1" "sub1" "altsearch" "altsub1" "id"
"1" "Akaike information criterion (AIC)|see {information criteria}" "zzzz" NA NA NA 11
"2" "analysis issues! analysis of summary data" "data summary" NA NA NA 11
"3" "analysis issues! analysis styles \& traditions" "EDA" "formal" NA NA 11
"4" "analysis issues! assumptions" "assumption" NA "assumptions" NA 11
"5" "analysis issues! changes of plan" "intended plan" NA NA NA 11
"6" "analysis issues! data snooping" "data snooping" NA NA NA 11
"7" "analysis issues! deficiencies" "inadequacies" NA NA NA 11
"8" "analysis issues! independence" "independence assumption" NA NA NA 11
"9" "analysis issues! nonparametric methods" "non-parametric" NA NA NA 11
"10" "analysis issues! planning" "planning the formal" NA NA NA 11
"11" "analysis issues! presentation issues" "report results" NA NA NA 11
"12" "analysis issues! prior information" "prior information" NA NA NA 11
"13" "analysis issues! random sampling assumptions" "random sampling assumptions" NA NA NA 11
"14" "analysis issues! robust \& resistant methods" "resistant" NA "robust" NA 11
"15" "analysis issues! significance tests" "significance tests" NA NA NA 11
"16" "analysis issues! strategies" "data analysis" "strategies" NA NA 11
"16a" "analysis issues! source/target differences" "data analysis" "strategies" "source" "target" 11
"17" "analysis issues! styles of analysis" "data analysis" "formal" "EDA" NA 11
"18" "analysis of variance! decomposition (anova)" "aov" "anova" NA NA 11
"19" "analysis of variance! degrees of freedom" "analysis of variance" "degrees" NA NA 11
"21" "analysis of variance model (aov)! one-way layout" "analysis of variance" "one-way" NA NA 11
"22" "analysis of variance model (aov)! categorized data vs linear fit" "analysis of variance" "qualitative" NA NA 11
"22a" "analysis of variance model (aov)! multi-way" "analysis of variance" "multi-way" NA NA 11
"23" "argument| see {function}" "zzzz" NA NA NA 11
"24" "array! dimensions" "array" "dimensions" NA NA 11
"25" "array! permutation of dimensions" "dimensions" "permutes" NA NA 11
"26" "assignment" "assignment" NA NA NA 11
"27" "assignment! subscripted" "subscripted" NA NA NA 11
"28" "Bayesian Information Criterion (BIC)| see {information criteria}" "zzzz" NA NA NA 11
"29" "Bayesian methods" "Bayesian" NA NA NA 11
"30" "Bayesian methods! posterior!density or probability" "posterior" "density" NA "probabiiity" 11
"31" "Bayesian methods! prior density or probability" "prior" "density" NA "probability" 11
"32" "bootstrap| see {resampling methods}" "zzzz" NA NA NA 11
"33" "boxplot| see {graphics, box \& whisker}" "zzzz" NA NA NA 11
"34" "Cp statistic (Mallows)| see {information criteria}" "Cp" NA NA NA 11
"35" "censoring| see {survival analysis}" "zzzz" NA NA NA 11
"37" "classes \& methods" "classes" "methods" NA NA 11
"38" "classes \& methods!S3" "classes" "s3" NA NA 11
"39" "classes \& methods!S4" "classes" "s4" NA NA 11
"40" "commands! comment character" "command" "comment" NA NA 11
"41" "commands! continuation character" "command" "continuation" NA NA 11
"42" "concatenation" "concatenation" NA NA NA 11
"43" "confidence interval (CI)" "confidence interval" NA "ci" NA 11
"44" "confidence interval (CI)! 1 \& 2-sample means" "confidence interval" "mean" NA NA 11
"45" "confidence interval (CI)! correlation" "correlation" "confidence interval" NA NA 11
"46" "confidence interval (CI)! correlation! bootstrap" "bootstrap" "confidence interval" NA NA 11
"47" "confidence interval (CI)! median" "median" "confidence interval" NA NA 11
"48" "confidence interval (CI)! median! bootstrap" "median" "bootstrap" NA NA 11
"49" "confidence interval (CI)! predicted values" "confidence interval" "predicted" "ci" NA 11
"50" "confidence interval (CI)! proportions" "proportion" "confidence interval" NA NA 11
"51" "confounding" "confounding" NA NA NA 11
"52" "contrasts| see {factor}" "zzzz" NA NA NA 11
"53" "correlation! Kendall" "Kendall" NA NA NA 11
"54" "correlation! linear (Pearson)" "correlation" "linear" NA NA 11
"55" "correlation! linear (Pearson)! confidence interval" "correlation" "confidence interval" NA NA 11
"56" "correlation! rank (Spearman)" "correlation" "rank" NA NA 11
"57" "cross-validation see {resampling methods}" "zzzz" NA NA NA 11
"58" "data analysis \& commentary! 800KYr Antarctica ice core records ({\tt edcCO2}, {\tt edcT})" "edcco2" NA NA NA 11
"59" "data analysis \& commentary! aberrant crypt foci ({\tt ACF1}), rat colons" "ACF1" "crypt" NA NA 11
"60" "data analysis \& commentary! acupuncture, real vs sham" "acupuncture" NA NA NA 11
"61" "data analysis \& commentary! admission rates, contrived data" "faculties" "engineering" NA NA 11
"62" "data analysis \& commentary! AIDS ({\tt Aids2}, {\itshape MASS}), survival" "Aids2" "survival" NA NA 11
"63" "data analysis \& commentary! alcohol consumed, by year \& country ({\tt grog})" "grog" NA NA NA 11
"64" "data analysis \& commentary! anesthetic, effect on pain ({\tt anesthetic})" "anesthetic" "move" NA NA 11
"65" "data analysis \& commentary! animal body \& brain weight ({\tt Animals}, {\itshape MASS})" "Animals" "brain" NA NA 11
"66" "data analysis \& commentary! Antiguan corn yields ({\tt ant111b})" "ant111b" NA NA NA 11
"67" "data analysis \& commentary! apple tasting ({\tt appletaste})" "apple" "tasting" NA NA 11
"68" "data analysis \& commentary! Australian athletes, morphology \& biochemistry ({\tt ais})" "Australian" "athletes" "AIS" NA 11
"68a" "data analysis \& commentary! Australian historical climate data ({\tt bomregions2015})" "soi" "rainfall" NA NA 11
"69" "data analysis \& commentary! blood pressure in rabbits ({\tt Rabbit}, {\itshape MASS})" "rabbit" NA NA NA 11
"70" "data analysis \& commentary! book weight vs dimensions ({\tt allbacks}, {\tt softbacks})" "allbacks" NA "allbacks" NA 11
"71" "data analysis \& commentary! book weight vs dimensions, biased sample ({\tt oddbooks})" "books" "oddbooks" NA NA 11
"72" "data analysis \& commentary! brain vs body weight \& litter size ({\tt litters})" "brain" "litters" NA NA 11
"74" "data analysis \& commentary! Canadian city populations ({\tt cities})" "cities" NA NA NA 11
"75" "data analysis \& commentary! cancer expression array data ({\tt Golub}, {\tt golubInfo}, {\itshape hddplot})" "Golub" NA NA NA 11
"76" "data analysis \& commentary! car data! 1993 Consumer reports ({\tt Cars93} {\itshape MASS}; {\tt Cars93.summary})" "cars93" NA NA NA 11
"77" "data analysis \& commentary! car data! fuel consumption, etc, 1974 data ({\tt mtcar} {\itshape datasets})" "mtcars" NA NA NA 11
"78" "data analysis \& commentary! car data! mileage vs weight ({\tt car.test.frame}, {\itshape rpart})" "car.test.frame" NA NA NA 11
"79" "data analysis \& commentary! car data! mileage, etc ({table.b3}, {\itshape MPV}) " "table.b3" NA NA NA 11
"80" "data analysis \& commentary! car data! speed vs distance to stop ({\tt cars}, {\itshape datasets}) " "cars" NA NA NA 11
"81" "data analysis \& commentary! carbon emissions vs year ({\tt fossilfuel})" "fossilfuel" NA NA NA 11
"82" "data analysis \& commentary! CO$_2$ level \& leaf temp ({\tt leaftemp})" "co2level" "leaftemp" NA NA 11
"83" "data analysis \& commentary! comparison of firing methods ({\tt  Gun}, {\itshape MEMSS}) " "MEMSS" "Gun" NA NA 11
"84" "data analysis \& commentary! cricketer survival rates ({cricketer})" "cricketer" NA NA NA 11
"85" "data analysis \& commentary! cuckoo egg sizes ({\tt cuckoos})" "cuckoo" "nests" NA NA 11
"86" "data analysis \& commentary! dengue projections ({\tt dengue})" "dengue" NA NA NA 11
"87" "data analysis \& commentary! depression vs lawn roller weight ({\tt roller})" "roller" NA NA NA 11
"88" "data analysis \& commentary! dewpoint vs min \& max temp ({\tt dewpoint})" "dewpoint" NA NA NA 11
"89" "data analysis \& commentary! distance, by ramp angle \& starting point ({\tt toycars})" "toycars" NA NA NA 11
"90" "data analysis \& commentary! drawings of dreams" "drawings" "dreams" NA NA 11
